id,dwelown,polviews,SCIENTOD,hotcore,SCIENTBR,SYNMEM,divorce,MAOCC10,satfam7,whoelse1,engnrsci,CONVICTD,MEDTREAT,libcom,VISZOO,weekswrk,attend,satjob7,nathealy,phone,wordf,libhomo,jobsecok,peoptrbl,age,helpnot,SCIENTDN,natfarey,spkath,hivtest,PAIDLV,reliten,SCIENTGO,ENGLONE,posslq,region,histsci,kidsuffr,ELDCOST,ELDERSUP,accptoth,EVNEGJOB,coldeg1,obey,spkcom,natsci,natrace,intethn,natcity,wksubs,relate1,VISART,RUMORWK,SPOCC10,sprel,zodiac,cooking1,wlthblks,family16,madeg,intlblks,evstray,relhhd7,VOTE08,SCIENTAL,kidjoy,racopen,CSHUTYP08,poleff13,POLEFY15,intrace2,spanint,SPLIVE,POLEFY16,WEBMOB,finalter,natdrug,selffrst,nateducy,spevwork,astrosci,spother,homosex,libath,racecen1,emailmin,ENGRESP,wrkwayup,seeksci,ENGDO,spanself,gender2,rincome,fechld,MAIND10,VISLIB,relhh1,whoelse2,volchrty
922,2,4,NaN,NaN,NaN,NaN,2,NaN,6,2,NaN,NaN,NaN,1,NaN,0,NaN,NaN,3,6,1,1,NaN,2,76,NaN,NaN,NaN,2,1,1,2,NaN,NaN,NaN,3,NaN,2,1,3,5,NaN,NaN,NaN,2,3,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,4,NaN,4,4,7,4,2,NaN,2,NaN,2,1,1,NaN,3,NaN,NaN,NaN,1,2,2,NaN,4,NaN,NaN,NaN,NaN,1,1,1,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,1,2,6
923,2,4,3,1,3,NaN,2,5700,1,1,NaN,2,2,NaN,0,52,NaN,1,1,6,1,NaN,1,NaN,28,3,2,1,NaN,2,1,4,2,NaN,NaN,8,NaN,4,NaN,2,NaN,NaN,NaN,4,NaN,1,NaN,2,NaN,3,1,0,4,4950,4,8,4,4,5,1,4,2,NaN,2,2,2,NaN,1,NaN,NaN,NaN,NaN,10,NaN,NaN,1,NaN,NaN,1,1,1,NaN,NaN,NaN,1,0,NaN,3,3,NaN,NaN,2,12,2,6990,6,1,1,NaN
924,2,4,NaN,NaN,NaN,NaN,2,NaN,4,2,NaN,2,NaN,2,NaN,0,NaN,NaN,NaN,3,1,2,NaN,3,84,NaN,NaN,NaN,1,NaN,1,3,NaN,NaN,4,8,NaN,4,1,2,5,NaN,NaN,NaN,1,1,NaN,2,NaN,NaN,1,NaN,NaN,NaN,NaN,3,NaN,5,1,NaN,4,NaN,NaN,1,NaN,3,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,3,NaN,NaN,NaN,NaN,4,2,1,0,NaN,4,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,1,2,6
925,2,1,NaN,NaN,NaN,NaN,NaN,4510,5,2,NaN,2,NaN,2,NaN,30,NaN,6,1,6,1,2,4,2,31,NaN,NaN,1,1,1,1,4,NaN,NaN,NaN,8,NaN,4,2,2,4,NaN,NaN,NaN,1,1,NaN,1,NaN,NaN,1,NaN,4,NaN,NaN,6,NaN,4,3,1,4,3,NaN,2,NaN,4,1,1,NaN,3,NaN,NaN,NaN,2,NaN,1,NaN,1,1,NaN,NaN,NaN,4,2,1,0,NaN,1,NaN,NaN,NaN,NaN,12,2,8980,NaN,1,2,6
926,NaN,2,3,1,4,NaN,NaN,4760,NaN,2,NaN,2,1,2,0,52,NaN,NaN,NaN,6,NaN,2,2,3,25,4,3,NaN,1,2,NaN,3,2,NaN,4,8,NaN,NaN,NaN,NaN,4,NaN,NaN,4,NaN,2,2,2,1,3,1,0,2,NaN,NaN,7,NaN,NaN,2,1,NaN,3,NaN,1,3,NaN,3,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,2,2,NaN,NaN,2,NaN,4,2,2,NaN,NaN,NaN,3,NaN,NaN,NaN,10,NaN,4770,5,1,2,6
927,NaN,4,NaN,1,NaN,NaN,NaN,NaN,NaN,2,1,2,NaN,2,2,44,NaN,NaN,1,6,NaN,2,1,2,38,4,NaN,2,1,1,NaN,3,NaN,3,NaN,8,2,NaN,NaN,NaN,5,2,NaN,5,1,2,NaN,2,NaN,3,1,0,NaN,NaN,NaN,2,NaN,NaN,1,1,NaN,3,NaN,2,NaN,NaN,1,1,NaN,3,NaN,NaN,NaN,2,NaN,2,NaN,4,1,NaN,3,NaN,4,2,1,NaN,1,NaN,3,2,NaN,NaN,10,NaN,NaN,1,1,2,4
928,2,6,NaN,NaN,NaN,NaN,NaN,NaN,2,2,NaN,2,NaN,NaN,NaN,36,NaN,2,NaN,6,1,NaN,1,NaN,37,3,NaN,NaN,NaN,1,1,4,NaN,NaN,3,8,NaN,2,2,2,NaN,NaN,NaN,3,NaN,3,2,1,3,3,1,NaN,4,NaN,NaN,6,NaN,4,6,7,4,3,NaN,2,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,1,NaN,NaN,NaN,NaN,9,2,NaN,NaN,1,2,NaN
929,NaN,5,NaN,1,NaN,NaN,NaN,NaN,NaN,2,NaN,1,1,1,2,0,7,NaN,NaN,3,NaN,2,NaN,1,66,1,NaN,NaN,2,2,NaN,1,NaN,4,2,8,NaN,NaN,NaN,NaN,6,NaN,NaN,2,2,1,1,2,2,3,1,0,NaN,NaN,NaN,8,NaN,NaN,1,NaN,NaN,1,NaN,3,NaN,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,1,1,NaN,NaN,1,NaN,3,1,1,NaN,2,NaN,4,2,NaN,2,NaN,NaN,NaN,0,1,2,3
930,1,5,NaN,NaN,NaN,NaN,2,NaN,2,2,NaN,NaN,NaN,2,NaN,5,NaN,3,2,3,1,2,1,2,72,NaN,NaN,2,2,2,2,3,NaN,NaN,NaN,8,NaN,3,1,2,3,NaN,NaN,NaN,1,2,NaN,2,NaN,NaN,1,NaN,4,4600,1,10,4,2,1,1,3,1,NaN,1,NaN,3,2,1,NaN,4,NaN,NaN,48,2,1,3,NaN,3,2,NaN,NaN,77,1,2,1,0,NaN,1,NaN,NaN,NaN,1,5,3,NaN,NaN,1,2,5
931,1,4,NaN,NaN,NaN,NaN,2,3050,2,1,NaN,2,NaN,NaN,NaN,52,2,2,NaN,6,1,NaN,1,NaN,24,4,NaN,NaN,NaN,1,1,2,NaN,NaN,1,8,NaN,5,1,2,NaN,NaN,NaN,4,NaN,2,2,1,1,3,1,NaN,3,5240,2,2,2,4,5,3,3,2,NaN,1,NaN,2,NaN,1,NaN,NaN,NaN,NaN,4,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,1,NaN,NaN,NaN,2,12,2,4970,NaN,1,2,NaN
