"loan_id","loan_status","num_borrowers","gender_ratio","borrower_picture","desc_language","sector","activity","loan_amount","funded_amount","basket_amount","paid_amount","currency_exchange_loss_amount","disbursal_currency","posted_date","funded_date","paid_date","planned_expiration_date","delinquent","video","country_code","journal_entries","bulk_entries","partner_id","partner_status","num_lenders","partner_rating","due_diligence_type","partner_start_date","delinquency_rate","default_rate","total_amount_raised","partner_loans_posted","lender_country_code","lender_occupation","lender_loan_count","lender_inviter","lender_invitee_count","lender_member_since","lender_teams_count"
435680,"paid",1,1,0,"en","Services","Beauty Salon",100,100,0,100,0,"UGX",4544.798646,4545.027326,4671.439988,4574.798634,"FALSE","TRUE","UG",0,0,112,"pilot",4,2,"Full",3001.541748,0.313588326,0,1399350,3571,NaN,"other",4,"FALSE",0,4545.02441,0
474269,"in_repayment",1,1,0,"en","Agriculture","Dairy",600,600,0,277.31,0,"KES",4650.784757,4651.494201,NaN,4680.784757,"FALSE","TRUE","KE",1,0,156,"active",24,3.5,"Full",3667.847419,3.141491251,2.655624242,2039575,3803,NaN,"other",46,"FALSE",1,4532.514178,2
538218,"in_repayment",1,0,0,"es","Agriculture","Dairy",1450,1450,0,169.84,0,"BOB",4849.027801,4864.808947,NaN,4879.027789,"FALSE","TRUE","BO",0,0,140,"active",50,3.5,"Full",3475.125069,0.293068321,1.539756634,1302525,1203,"AU","other",249,"FALSE",3,3169.7836,1
415055,"in_repayment",1,0,0,"en","Agriculture","Farming",1225,1225,0,947.96,0,"KES",4492.875081,4522.846806,NaN,4522.875081,"FALSE","TRUE","KE",1,0,156,"active",26,3.5,"Full",3667.847419,3.141491251,2.655624242,2039575,3803,"AT","engineer",65,"FALSE",1,3698.396609,0
124624,"paid",1,1,0,"en","Retail","General Store",125,125,0,125,0,"PHP",3491.659803,3491.72125,3636.53772,10000,"FALSE","TRUE","PH",1,0,128,"active",3,3,"Full",3335.209225,0.302681246,0,3162925,15572,"IE","teach",1331,"FALSE",2,2967.071123,9
479903,"in_repayment",1,1,0,"en","Agriculture","Dairy",925,925,0,411.35,0,"GEL",4665.583368,4677.888762,NaN,4695.583368,"FALSE","TRUE","GE",0,0,181,"active",35,4,"Full",4040.722315,0.039289645,0,2364500,2066,"US","other",859,"FALSE",1483,4603.153183,1
216838,"paid",1,1,0,"en","Clothing","Used Clothing",375,375,0,375,0,"KES",3855.895868,3856.099931,4122.517836,10000,"FALSE","TRUE","KE",0,0,164,"active",14,3,"Full",3741.86809,0.530775729,0.181056664,2781250,7659,"US","physician",109,"FALSE",3,2645.099398,1
218868,"paid",1,0,0,"en","Retail","General Store",225,225,0,225,0,"UGX",3862.673646,3862.864954,4064.213252,10000,"FALSE","TRUE","UG",1,0,84,"active",9,3,"Full",2808.638924,93.35345996,0.388753284,8096225,3668,"US","teach",86,"FALSE",3,2550.355069,1
59464,"paid",1,1,0,"en","Food","Restaurant",275,275,0,275,0,"NGN",3145.805741,3145.918183,3422.878958,10000,"FALSE","TRUE","NG",1,0,20,"closed",7,0,"Full",2498.318692,0,0,4976700,8593,"US","other",2747,"FALSE",8,2876.711817,7
247572,"paid",1,1,0,"es","Food","Bakery",200,200,0,200,0,"USD",3969.986204,3970.725729,4122.430417,10000,"FALSE","TRUE","PE",2,0,119,"active",4,3.5,"Full",3165.028148,0.357257971,0.016690613,7779500,10159,"CN","other",2698,"FALSE",0,3408.365914,4
384635,"in_repayment",1,0,0,"ru","Services","Auto Repair",3000,3000,0,2497.5,0,"USD",4407.694468,4437.009039,NaN,4437.694468,"FALSE","TRUE","TJ",1,0,63,"active",4,4,"Full",2712.891551,0.129366744,0.015180022,4792050,5354,NaN,"other",78554,"FALSE",3,2712.593021,21
171281,"paid",1,1,0,"en","Agriculture","Farming",600,600,0,600,0,"USD",3684.333507,3686.81066,3971.610903,10000,"FALSE","TRUE","KH",0,0,106,"active",5,4.5,"Full",2966.902847,0.02545345,0.02080259,5103500,8536,NaN,NaN,NaN,"FALSE",NaN,NaN,0
103890,"paid",1,0,0,"ru","Retail","Retail",125,125,0,125,0,"TJS",3399.868148,3399.968657,3454.053264,10000,"FALSE","TRUE","TJ",0,0,47,"closed",5,0,"Full",2621.946366,0,0,2086650,3200,"AU","other",501,"FALSE",1,2915.950162,0
