Name,Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
SPIRALE-A (Systme Prparatoire Infra-Rouge pour l'Alerte),France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Elliptical,NaN,608,35717,0.71556,637.65,117,NaN,NaN,39855,NaN,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,SC - ASCR,NaN,0.033859387
SPIRALE-B (Systme Prparatoire Infra-Rouge pour l'Alerte),France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Elliptical,NaN,627,35697,0.71478,637.64,117,NaN,NaN,39855,NaN,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,SC - ASCR,NaN,0.033510322
Spot 5 (Systme Probatoire dÕObservation de la Terre),France/Belgium/Sweden,Spot Image,Commercial,Earth Observation,LEO,Sun-Synchronous,824,826,0.00014,101.4,3030,NaN,2400,37380,5,Astrium,France/UK/Germany,Guiana Space Center,Ariane 42P,www.satellitedebris.net 12/12,NaN,1.720894642
Spot 6 (Systme Probatoire dÕObservation de la Terre),France/Belgium/Sweden,Spot Image,Commercial,Earth Observation,LEO,Sun-Synchronous,696,699,0.00021,98.73,720,NaN,NaN,41161,5,EADS Astrium,France/UK/Germany,Sriharikota Launch Station,PSLV,SC  - ASCR,NaN,1.713913325
SRMSat (Sri Ramaswamy Memorial Satellite),India,SRM University,Civil,Technology Development,LEO,NaN,850,868,0.00124,102.1,10.9,NaN,NaN,40828,1,SRM University,India,Sriharikota Launch Station,PSLV,www.satellitedebris.net 12/12,NaN,0.34906585
SSOT (Sistema Satelital para la Observacin de la Tierra),Chile,Chilean Air Force,Government/Military,Earth Observation,LEO,NaN,622,624,0.00014,97.2,117,NaN,NaN,40894,NaN,Astrium,France,Guiana Space Center,Soyuz 2/Fregat,www.satellitedebris.net 12/12,NaN,1.710422667
ST-2 (Singapore-Taiwan 2),Singapore/Taiwan,Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.,Commercial,Communications,GEO,NaN,35783,35791,9.00E-005,1436.12,5090,NaN,NaN,40683,15,Mitsubishi Electric Corporation,Japan,Guiana Space Center,Ariane 5,JM/9_11,1.535715209,0.000349066
Star One C1,Brazil,Star One (SES [Socit Europenne des Satellites (SES)]),Commercial,Communications,GEO,NaN,35703,35778,0.00089,1436,4100,1750,10500,39400,15,Thales Alenia Space,France,Guiana Space Center,Ariane 5,JM/12_08,-1.134114948,0.000523599
Star One C2,Brazil,Star One (SES [Socit Europenne des Satellites (SES)]),Commercial,Communications,GEO,NaN,35776,35796,0.00024,1436.1,4100,1750,NaN,39556,NaN,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,JM/12_08,-1.220508746,0.001047198
Star One C3,Brazil,Star One (SES [Socit Europenne des Satellites (SES)]),Commercial,Communications,GEO,NaN,35791,35848,0.00068,1437.78,3225,1402,NaN,41223,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,SC - ASCR,-1.308996939,0.000349066
STARE-B (Horus [Space-Based Telescopes for Actionable Refinement of Ephemeris]),USA,National Reconaissance Office,Military,Remote Sensing,LEO,NaN,500,506,0.00044,94.6,3,NaN,NaN,41597,NaN,Lawrence Livermore National Laboratory,USA,Wallops Island Flight Facility,Minotaur 1,NaN,NaN,0.706858347
STPSat-2 (USA 217),USA,USAF Space Test Program,Military,Technology Development,LEO,Sun-Synchronous,650,650,0,97.73,180,NaN,NaN,40502,1,Ball Aerospace,USA,Kodiak Launch Complex,Minotaur 4,SC - ASCR,NaN,1.256637061
STPSat-3 (Space Test Program Satellite-3),USA,US Air Force,Military,Technology Development,LEO,NaN,497,507,0.00073,94.66,137,NaN,NaN,41597,3,Ball Aerospace,USA,Wallops Island Flight Facility,Minotaur 1,SC - ASCR,NaN,0.70703288
"STRaND-1 (Surrey Training, Research and Nanosatellite Demonstrator 1)",United Kingdom,Surrey Satellite Technology Limited (SSTL),Commercial,Technology Development,LEO,Sun-Synchronous,772,783,0.00077,100.4,4.3,NaN,NaN,41330,NaN,Surrey Satellite Technology Limited (SSTL),United Kingdom,Sriharikota Launch Station,PSLV,ZARYA,NaN,1.720894642
Strela 3 (Cosmos 2384),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,1417,1431,9.00E-004,114.3,225,NaN,NaN,37252,3,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Tsyklon 3,www.satellitedebris.net 12/12,NaN,1.439896633
Strela 3 (Cosmos 2385),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,1417,1425,0.00051,114.2,225,NaN,NaN,37252,3,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Tsyklon 3,www.satellitedebris.net 12/12,NaN,1.439896633
Strela 3 (Cosmos 2386),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,1415,1419,0.00026,114.2,225,NaN,NaN,37252,3,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Tsyklon 3,www.satellitedebris.net 12/12,NaN,1.439896633
Strela 3 (Cosmos 2390),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,1468,1506,0.00242,115.7,225,NaN,NaN,37445,3,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Kosmos 3M,www.satellitedebris.net 12/12,NaN,0.148352986
Strela 3 (Cosmos 2391),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,1466,1506,0.00255,115.7,225,NaN,NaN,37445,3,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Kosmos 3M,www.satellitedebris.net 12/12,NaN,1.439896633
Strela 3 (Cosmos 2400),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,1467,1503,0.00229,115.7,225,NaN,NaN,37852,3,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Kosmos 3M,www.satellitedebris.net 12/12,NaN,1.439896633
Strela 3 (Cosmos 2401),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,1465,1502,0.00236,115.6,225,NaN,NaN,37852,3,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Kosmos 3M,www.satellitedebris.net 12/12,NaN,1.439896633
Strela 3 (Cosmos 2408),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,1471,1495,0.00153,115.5,225,NaN,NaN,38253,3,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Kosmos 3M,www.satellitedebris.net 12/12,NaN,1.439896633
Strela 3 (Cosmos 2409),Russia,Ministry of Defense,Military,Communications,LEO,Intermediate,1474,1495,0.00134,115.6,225,NaN,NaN,38253,3,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Plesetsk Cosmodrome,Kosmos 3M,www.satellitedebris.net 12/12,NaN,1.439896633
